ID,pos_count,neg_count,SAT_SCORE_1,SAT_SCORE_2
2021063,120,27,980,990
2021068,258,106,510,NULL
2021070,53,42,1050,1060
30200002,86,83,750,800
30200005,260,237,890,NULL
301001526,1,NULL,1170,1090
301001548,153,55,840,1100
301001588,40,7,830,750
302001047,191,119,700,710
302001067,34,3,NULL,NULL
302001285,41,53,1210,1360
302001296,398,334,680,600
302001305,81,73,1040,1080
302001311,86,139,970,1030
303001303,326,274,1200,1210
303001334,233,273,NULL,800
303001349,352,80,910,910
305001274,70,40,1190,1340
305001363,1,1,NULL,NULL
305001422,119,43,770,910
305001431,50,25,1090,1200
305001487,18,5,900,NULL
305002367,175,46,810,920
305003357,54,103,880,940
306001112,59,152,730,700
306001252,66,122,890,920
307001088,77,98,900,940
310001120,246,330,780,890
470443930,106,87,880,970
564410086,94,11,980,1070
673999326,60,64,1000,1100
701152599,267,87,1050,1050
701152655,11,2,780,720
701153824,267,56,740,700
701156019,301,235,710,650
701156020,311,250,660,710
701156411,348,491,880,950
701156642,310,368,780,770
701156651,36,5,800,850
701158958,38,27,760,NULL
701159057,33,46,NULL,770
701159066,1,NULL,NULL,NULL
717601957,286,457,930,1020
3042022001,178,160,740,880
3042022015,301,437,760,800
3042022037,256,132,820,1000
3042022044,12,12,NULL,NULL
3042022048,274,360,1040,1160
3042022066,299,560,820,850
3042022073,137,72,830,810
3042022084,183,230,750,620
2021006,19,32,NULL,NULL
2021008,56,4,1180,1120
2021025,190,237,930,980
2021040,98,18,970,1120
2021057,270,134,800,770
2021059,307,353,630,430
2021074,50,34,1090,1200
30200010,81,64,800,970
30200013,77,236,750,780
104513935,45,46,790,800
202462566,122,58,1150,1130
301001235,1,NULL,NULL,NULL
301001395,1,NULL,NULL,NULL
301001492,37,2,900,850
301001532,1,NULL,1000,1050
301001569,1,NULL,890,920
302001033,11,6,810,650
302001112,57,67,NULL,1030
302001247,191,98,1020,1090
302001267,109,112,1150,1240
302001273,106,9,1050,1090
302001278,66,70,850,1030
302001290,35,39,1290,1450
302001299,105,62,1000,1040
302001319,75,91,890,950
303001003,34,3,750,590
303001023,35,5,NULL,NULL
303001188,59,111,860,760
303001302,382,205,800,990
303001328,284,47,840,910
303001342,220,250,NULL,1020
303001346,295,307,710,930
303001375,379,415,1090,1160
304202285,350,142,1130,1110
305001457,108,63,1160,1230
305001481,335,312,730,630
305003354,228,91,800,890
306001218,68,71,NULL,980
306001324,237,333,720,580
701153835,91,54,880,1010
701153857,327,250,750,690
701154042,25,1,NULL,NULL
701156032,293,488,850,940
701156639,188,184,750,770
701156640,297,474,870,790
701158991,147,39,NULL,1040
701159013,115,40,NULL,1040
701159022,22,20,NULL,NULL
701159047,1,NULL,NULL,950
701159087,7,2,NULL,NULL
701159088,22,18,NULL,NULL
3042022014,215,122,1000,1000
3042022043,290,120,1120,1050
3042022054,156,120,880,840
3042022072,238,216,980,810
304036,339,280,710,670
2021001,266,221,800,840
2021026,245,343,820,660
2021037,50,5,1040,1170
2021062,171,218,NULL,NULL
300027521,96,155,940,790
301001353,86,48,1080,1170
301001452,1,1,810,940
301001493,1,NULL,NULL,900
301001518,104,67,810,NULL
301001581,1,NULL,1080,910
302001050,270,434,840,1020
302001079,220,107,810,840
302001107,79,38,NULL,NULL
302001272,256,106,800,900
302001284,73,63,820,NULL
302001304,33,37,990,1230
303001087,117,49,NULL,730
303001113,40,2,900,820
303001181,38,4,630,810
303001341,265,215,1060,1080
303001361,274,208,680,550
303001372,340,180,970,1010
305001454,88,38,900,1050
305001480,56,45,1170,1220
305001489,274,139,710,610
305001600,297,64,880,710
306001166,109,70,1050,1100
306001229,1,NULL,710,790
422019498,224,271,720,640
491472423,83,44,870,930
570604783,206,143,880,800
701152651,276,94,830,860
701152691,199,124,930,1100
701153858,91,65,790,850
701156085,351,92,1140,1200
